Company Name,URL,Directors
JOHN KEELLS HOLDINGS PLC,https://www.keells.com/leadership/,"Amal Cabraal, Dr Wijayasuriya, Krishan Balendra"
L O L C HOLDINGS PLC,https://www.lolc.com/directors,"Mrs Amarasinghe, K U Amarasinghe, Kalsha Amarasinghe, Kapila Jayawardena, Ravi Fernando, Ravi Fernando 
 Non-"
CEYLON TOBACCO COMPANY PLC,https://www.ceylontobaccocompany.com/who-we-are/corporate-governance/our-leadership,"GARY TARRANT, STUART KIDD, FARIYHA SUBHANI, SURESH SHAH"
COMMERCIAL BANK OF CEYLON PLC,https://www.combank.lk/about-us,"Palitha Kumarasinghe, Thushara Wijewardena, Lakshman Niyangoda, Nimal Fernando, Judy Lee, Sivakumar Selliah, Yohan Perera, Raja Senanayake"
LOLC FINANCE PLC,https://www.lolcfinance.com/about-us/board-of-directors/,"Conrad Dias, Chamila Priyangani, Chamila Priyangani - Independent Non-, Krishan Thilakaratne, F K C P N Dias - / Non, de Zylva"
DISTILLERIES COMPANY OF SRI LANKA PLC,https://www.marketscreener.com/quote/stock/DISTILLERIES-COMPANY-OF-S-6495013/company/,"Cedric Jansz, Deshamanya Jayawardena, Kolitha Jagath Kahanda, Nimal N. Nagahawatte"
MELSTACORP PLC,https://melstacorp.com/group/directors,"D. S. T. Jayawardena, Damien Fernando, D. S. T. Ja, K. J. Kahanda, D. Hasitha, M. R. Mihular, C. R. Jansz, K. J. K, N. De S. Deva Aditya 
 Non-Independent, M. A. N. S. Perera"
HATTON NATIONAL BANK PLC,https://www.hnb.net/about-the-bank/corporate-management/board-of-directors,Nanda Fernando
CARGILLS (CEYLON) PLC,https://www.cargillsceylon.com/about-us/,"Abdul Wahid, Ranjit Page, al warehouse, Ganesan Ampalavanar, Albert A. Page, Imtiaz Abdul Wahid, Louis Page"
SRI LANKA TELECOM PLC,https://www.slt.lk/en/about-us/profile/management,"Chan Chee Beng, Mr Amaraseker, Mr Amarasekera, Mothilal de Silva"
HAYLEYS PLC,https://www.hayleys.com/leadership/,"Mohan Pandithage, Rejoined Hayleys, Dhammika Perera, Sarath Ganegoda, Rajitha Kariyawasan, Harsha Cabral"
