Company Name,Board_Link,Board_Page_Content
BUKIT DARAH PLC,https://cdn.cse.lk/cmt/upload_report_file/456_1721302558018.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F456_1721302558018.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
PALM GARDEN HOTELS PLC,https://cdn.cse.lk/cmt/upload_report_file/529_1725243817569.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F529_1725243817569.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
HAYCARB PLC,https://annualreport.haycarb.com/pdf/Governance/Board%20of%20Directors.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fannualreport.haycarb.com%2Fpdf%2FGovernance%2FBoard%2520of%2520Directors.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
CEYLON GUARDIAN INVESTMENT TRUST PLC,https://cdn.cse.lk/cmt/upload_report_file/607_1720005523348.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F607_1720005523348.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
THE KANDY HOTELS COMPANY (1938) PLC,https://cdn.cse.lk/cmt/upload_report_file/547_1725016494883.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F547_1725016494883.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
CEYLON INVESTMENT PLC,https://cdn.cse.lk/cmt/upload_report_file/608_1731552236129.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F608_1731552236129.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
Agarapatana Plantations PLC,https://cdn.cse.lk/cms-internal/upcoming/jlpwuDns0Er5Tj75_11Jul2023074646GMT_1689061606510.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcms-internal%2Fupcoming%2FjlpwuDns0Er5Tj75_11Jul2023074646GMT_1689061606510.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
SERENDIB HOTELS PLC,https://cdn.cse.lk/cmt/upload_report_file/601_1693534816831.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F601_1693534816831.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
THE NUWARA ELIYA HOTELS COMPANY PLC,https://cdn.cse.lk/cmt/upload_report_file/566_1693477891440.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F566_1693477891440.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
DOLPHIN HOTELS PLC,https://cdn.cse.lk/cmt/upload_report_file/603_1454497223298.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F603_1454497223298.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
HIKKADUWA BEACH RESORT PLC,https://cdn.cse.lk/cmt/upload_report_file/1222_1725240805187.pdf,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fcdn.cse.lk%2Fcmt%2Fupload_report_file%2F1222_1725240805187.pdf&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
