Company Name,Market Capitalization
JOHN KEELLS HOLDINGS PLC,329580584796.1
L O L C HOLDINGS PLC,257202000000.0
CEYLON TOBACCO COMPANY PLC,243520876300.0
COMMERCIAL BANK OF CEYLON PLC,185656307637.5
LOLC FINANCE PLC,185243588874.4
DISTILLERIES COMPANY OF SRI LANKA PLC,158240000000.0
MELSTACORP PLC,140138997908.0
DIALOG AXIATA PLC,124204522419.0
HATTON NATIONAL BANK PLC,122655519506.0
SAMPATH BANK PLC,120495003090.0
CARGILLS (CEYLON) PLC,110865843762.75
SRI LANKA TELECOM PLC,103779450000.0
LION BREWERY (CEYLON) PLC,102400000000.0
HAYLEYS PLC,97500000000.0
BROWNS INVESTMENTS PLC,96277106982.0
CARSON CUMBERBATCH PLC,79389409984.5
C T HOLDINGS PLC,77894148741.5
CEYLON COLD STORES PLC,73275840000.0
BUKIT DARAH PLC,71400000000.0
HEMAS HOLDINGS PLC,66898428800.0
VALLIBEL ONE PLC,66626565174.0
LANKA IOC PLC,65493281715.0
CEYLINCO HOLDINGS PLC,58000000000.0
CEYLON BEVERAGE HOLDINGS PLC,52186885785.0
RICHARD PIERIS AND COMPANY PLC,50468949220.0
NATIONS TRUST BANK PLC,50124287701.75
AITKEN SPENCE PLC,48821024411.25
LB FINANCE PLC,44878628016.0
DFCC BANK PLC,41999127150.0
NATIONAL DEVELOPMENT BANK PLC,40683957674.0
ROYAL CERAMICS LANKA PLC,39773388856.0
CENTRAL FINANCE COMPANY PLC,39559676388.0
SUNSHINE HOLDINGS PLC,39554679771.6
ACCESS ENGINEERING PLC,36200000000.0
SINGER (SRI LANKA) PLC,35495584524.8
SENKADAGALA FINANCE COMPANY PLC,35396301898.5
PEOPLE'S LEASING & FINANCE PLC,35116324725.0
C I C HOLDINGS PLC,32586300000.0
PGP GLASS CEYLON PLC,32492943936.0
TEEJAY LANKA PLC,32177015114.8
WINDFORCE PLC,32148300819.6
CHEVRON LUBRICANTS LANKA PLC,31440000000.0
BROWN & COMPANY PLC,31096406250.0
PALM GARDEN HOTELS PLC,30935905000.0
UNION ASSURANCE PLC,29110714568.0
ASIRI HOSPITAL HOLDINGS PLC,28665846619.2
DIPPED PRODUCTS PLC,28374356688.0
OVERSEAS REALTY (CEYLON) PLC,28092468553.2
ACL CABLES PLC,27850561200.0
JOHN KEELLS HOTELS PLC,27812403498.0
HATTON NATIONAL BANK PLC,26704052421.0
AMBEON HOLDINGS PLC,26586790117.0
WATAWALA PLANTATIONS PLC,26328467973.5
AITKEN SPENCE HOTEL HOLDINGS PLC,25894330770.0
AMBEON CAPITAL PLC,24466485486.0
DIGITAL MOBILITY SOLUTIONS LANKA PLC,23499318946.5
ASIAN HOTELS AND PROPERTIES PLC,23112870660.0
DILMAH CEYLON TEA COMPANY PLC,22780143750.0
HAYCARB PLC,22729966875.0
SOFTLOGIC LIFE INSURANCE PLC,21072656250.0
EDEN HOTEL LANKA PLC,20275200000.0
TOKYO CEMENT COMPANY (LANKA) PLC,20082249000.0
SEYLAN BANK PLC,19840400905.0
HUNAS HOLDINGS PLC,19527690000.0
COMMERCIAL CREDIT AND FINANCE PLC,17748549567.0
CAPITAL ALLIANCE PLC,16833253872.4
THE LANKA HOSPITALS CORPORATION PLC,16578553722.9
HAYLEYS FABRIC PLC,16203789264.0
LANKA MILK FOODS (CWE) PLC,15959202000.0
JANASHAKTHI INSURANCE PLC,15630304557.0
SEYLAN BANK PLC,15397124546.8
First Capital Treasuries PLC,14220360000.0
PAN ASIA BANKING CORPORATION PLC,14161972128.0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,13916553420.0
FIRST CAPITAL HOLDINGS PLC,13324500000.0
LANKA WALLTILE PLC,13240500000.0
LANKA TILES PLC,12997350450.0
VALLIBEL FINANCE PLC,12855755640.0
JAT HOLDINGS PLC,12556031215.8
KOTMALE HOLDINGS PLC,12403000000.0
THE COLOMBO FORT LAND AND BUILDING PLC,12384000000.0
VIDULLANKA PLC,12380543100.6
AMANA BANK PLC,12234991561.2
MALWATTE VALLEY PLANTATION PLC,11924189062.8
R I L PROPERTY PLC,11600000000.0
CEYLON GUARDIAN INVESTMENT TRUST PLC,11368234722.0
NATIONS TRUST BANK PLC,11021529025.0
CEYLON GRAIN ELEVATORS PLC,10800000000.0
KELANI CABLES PLC,10567550000.0
HNB ASSURANCE PLC,10500000000.0
UNION BANK OF COLOMBO PLC,10293804211.0
PRIME LANDS RESIDENCIES PLC,9843750000.0
COMMERCIAL BANK OF CEYLON PLC,9841419423.0
SOFTLOGIC HOLDINGS PLC,9766805853.0
