Company Name,Board_Link,Board_Page_Content
LION BREWERY (CEYLON) PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/LION.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FLION.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
C T HOLDINGS PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/CTHR.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FCTHR.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
LANKA IOC PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/LIOC.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FLIOC.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
CEYLON BEVERAGE HOLDINGS PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/BREW.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FBREW.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
SUNSHINE HOLDINGS PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/SUN.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FSUN.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
PGP GLASS CEYLON PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/GLAS.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FGLAS.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
DIPPED PRODUCTS PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/DIPD.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FDIPD.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
WATAWALA PLANTATIONS PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/WATAN0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FWATAN0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
EDEN HOTEL LANKA PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/EDEN.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FEDEN.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
HUNAS HOLDINGS PLC,https://www.wsj.com/market-data/quotes/LK/XCOL/HUNA.N0000/company-people,"Error scraping: HTTPSConnectionPool(host='api.zenrows.com', port=443): Max retries exceeded with url: /v1/?url=https%3A%2F%2Fwww.wsj.com%2Fmarket-data%2Fquotes%2FLK%2FXCOL%2FHUNA.N0000%2Fcompany-people&apikey=ac4a623d6652bde68c4e021e607f3e0d814e0516 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)')))"
